# {"time_iso8601_last_update_rki": "2021-03-15T17:00:00+0000", "time_iso8601_last_update_rl": "2021-03-16T20:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
5558,LK Coesfeld,Nordrhein-Westfalen,220586,4028,40.35,81,4006,40.35,76
5562,LK Recklinghausen,Nordrhein-Westfalen,614137,23074,82.23,728,23003,81.90,729
5566,LK Steinfurt,Nordrhein-Westfalen,448220,11069,77.64,270,11141,68.27,274
5570,LK Warendorf,Nordrhein-Westfalen,277840,8660,66.23,205,8659,66.59,205
5711,SK Bielefeld,Nordrhein-Westfalen,334195,10331,45.78,289,10331,42.49,288
5754,LK Gütersloh,Nordrhein-Westfalen,364938,13991,70.42,270,14206,66.31,270
5758,LK Herford,Nordrhein-Westfalen,250578,7824,108.95,147,7824,108.95,147
5762,LK Höxter,Nordrhein-Westfalen,140251,3996,35.65,130,3992,36.36,130
5766,LK Lippe,Nordrhein-Westfalen,347514,11842,80.00,326,11830,80.00,326
5770,LK Minden-Lübbecke,Nordrhein-Westfalen,310409,10766,114.37,236,10738,108.89,236
5774,LK Paderborn,Nordrhein-Westfalen,307839,6855,63.67,139,6792,58.15,139
5911,SK Bochum,Nordrhein-Westfalen,365587,11183,94.92,178,11137,88.62,178
5913,SK Dortmund,Nordrhein-Westfalen,588250,19266,79.56,317,19174,71.23,316
5914,SK Hagen,Nordrhein-Westfalen,188686,8019,111.30,253,8017,110.24,253
5915,SK Hamm,Nordrhein-Westfalen,179916,7166,99.49,162,7183,108.38,160
5916,SK Herne,Nordrhein-Westfalen,156449,6779,186.00,217,6778,157.88,217
5954,LK Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,324106,9482,66.34,299,9507,63.56,298
5958,LK Hochsauerlandkreis,Nordrhein-Westfalen,259777,6440,70.45,161,6449,73.14,161
5962,LK Märkischer Kreis,Nordrhein-Westfalen,410222,13001,150.41,290,13001,150.41,290
5966,LK Olpe,Nordrhein-Westfalen,133955,4010,86.60,138,3989,74.65,137
5970,LK Siegen-Wittgenstein,Nordrhein-Westfalen,276944,7417,120.60,124,7418,119.52,124
5974,LK Soest,Nordrhein-Westfalen,301785,5928,69.59,157,5892,67.60,155
5978,LK Unna,Nordrhein-Westfalen,394891,13404,61.54,421,13388,66.35,420
6411,SK Darmstadt,Hessen,159878,4191,53.79,121,4191,50.04,121
6412,SK Frankfurt am Main,Hessen,763380,27701,101.26,622,27671,100.74,618
6413,SK Offenbach,Hessen,130280,6065,175.78,148,6069,178.08,147
6414,SK Wiesbaden,Hessen,278474,9148,68.59,218,9117,63.56,214
6431,LK Bergstraße,Hessen,270340,7904,103.94,286,7710,79.16,279
6432,LK Darmstadt-Dieburg,Hessen,297844,8153,62.11,269,8017,58.08,266
6433,LK Groß-Gerau,Hessen,275726,9922,106.99,250,9922,100.10,250
6434,LK Hochtaunuskreis,Hessen,236914,5763,84.00,168,5723,80.20,168
6435,LK Main-Kinzig-Kreis,Hessen,420552,15780,119.37,494,15786,114.14,494
6436,LK Main-Taunus-Kreis,Hessen,238558,6412,72.10,174,6223,67.91,145
6437,LK Odenwaldkreis,Hessen,96703,3255,58.94,157,3255,58.94,157
6438,LK Offenbach,Hessen,355813,13229,120.85,453,13229,125.07,439
6439,LK Rheingau-Taunus-Kreis,Hessen,187160,5214,75.34,153,5212,75.87,148
6440,LK Wetteraukreis,Hessen,308339,9507,87.89,484,9507,75.57,440
6531,LK Gießen,Hessen,270688,9231,111.20,331,9147,98.27,324
6532,LK Lahn-Dill-Kreis,Hessen,253319,7966,156.32,177,7946,147.25,171
6533,LK Limburg-Weilburg,Hessen,171912,6083,100.63,240,6068,84.35,239
6534,LK Marburg-Biedenkopf,Hessen,247084,7290,107.66,234,7330,104.01,231
6535,LK Vogelsbergkreis,Hessen,105643,2657,44.49,97,2658,45.44,97
6611,SK Kassel,Hessen,202137,5312,80.64,141,5300,79.65,141
6631,LK Fulda,Hessen,223145,8631,112.93,213,8627,112.48,213
6632,LK Hersfeld-Rotenburg,Hessen,120719,3514,91.95,123,3505,92.78,122
6633,LK Kassel,Hessen,236764,5439,43.50,181,5430,43.93,180
6634,LK Schwalm-Eder-Kreis,Hessen,179673,4720,30.05,208,4699,36.73,205
6635,LK Waldeck-Frankenberg,Hessen,156406,4404,78.64,129,4399,70.33,122
6636,LK Werra-Meißner-Kreis,Hessen,100629,2471,90.43,136,2396,78.51,128
7111,SK Koblenz,Rheinland-Pfalz,114052,3190,54.36,124,3199,50.85,113
7131,LK Ahrweiler,Rheinland-Pfalz,130086,3237,107.62,46,3223,102.24,46
7132,LK Altenkirchen,Rheinland-Pfalz,128805,2969,159.93,73,2949,142.08,71
7133,LK Bad Kreuznach,Rheinland-Pfalz,158345,4314,25.26,121,4302,23.37,121
7134,LK Birkenfeld,Rheinland-Pfalz,80951,2313,38.29,81,2312,42.00,81
7135,LK Cochem-Zell,Rheinland-Pfalz,61375,1561,13.03,48,1565,11.41,47
7137,LK Mayen-Koblenz,Rheinland-Pfalz,214434,4685,42.90,142,4675,47.10,135
7138,LK Neuwied,Rheinland-Pfalz,182811,5514,91.35,107,5469,80.96,103
7140,LK Rhein-Hunsrück-Kreis,Rheinland-Pfalz,103163,2667,58.16,81,2677,58.16,80
7141,LK Rhein-Lahn-Kreis,Rheinland-Pfalz,122297,2857,67.87,91,2849,66.23,91
7143,LK Westerwaldkreis,Rheinland-Pfalz,201904,4806,87.17,122,4755,78.26,121
7211,SK Trier,Rheinland-Pfalz,111528,1930,44.83,23,1927,38.56,21
7231,LK Bernkastel-Wittlich,Rheinland-Pfalz,112483,2159,55.12,57,2143,48.90,57
7232,LK Bitburg-Prüm,Rheinland-Pfalz,99058,2457,70.67,20,2435,64.61,21
7233,LK Vulkaneifel,Rheinland-Pfalz,60646,1472,24.73,56,1471,21.44,56
7235,LK Trier-Saarburg,Rheinland-Pfalz,149398,3289,61.58,84,3274,55.56,84
7311,SK Frankenthal,Rheinland-Pfalz,48762,1586,184.57,46,1574,168.16,45
7312,SK Kaiserslautern,Rheinland-Pfalz,100030,2437,40.99,85,2490,40.99,84
7313,SK Landau i.d.Pfalz,Rheinland-Pfalz,46881,1168,49.06,32,1153,49.06,33
7314,SK Ludwigshafen,Rheinland-Pfalz,172253,7127,87.08,302,7101,78.37,302
7315,SK Mainz,Rheinland-Pfalz,218578,6965,58.10,169,6940,53.53,168
7316,SK Neustadt a.d.Weinstraße,Rheinland-Pfalz,53264,1283,37.55,33,1259,30.04,33
7317,SK Pirmasens,Rheinland-Pfalz,40231,923,169.02,50,939,169.02,50
7318,SK Speyer,Rheinland-Pfalz,50561,2049,43.51,80,2044,35.60,80
